,TA,zone97,SocialClass
121,1509,122,B
131,1162,132,B
132,52,133,B
138,1252,139,B
141,653,142,B
234,596,235,A
238,598,239,A
248,1361,249,A
250,1083,251,B
252,2233,253,B
253,972,254,A
262,545,263,B
264,1332,265,B
265,490,266,B
266,1746,267,B
267,921,268,B
268,1084,269,A
269,1380,270,B
270,1264,271,B
275,508,276,B
276,1484,277,B
277,1075,278,B
278,1946,279,B
279,1462,280,B
280,2193,281,B
284,458,285,B
285,776,286,B
286,465,287,B
291,529,292,B
292,467,293,A
294,1386,295,B
302,579,303,B
304,454,305,B
513,363,514,B
531,1342,532,B
532,311,533,B
533,1626,534,B
534,2320,535,B
535,1070,536,A
536,196,537,B
537,1494,538,B
538,1242,539,B
539,1890,540,B
540,1072,541,B
541,2332,542,B
542,249,543,B
543,385,544,B
544,641,545,B
546,1527,547,B
548,717,549,B
549,632,550,A
550,1081,551,B
552,1420,553,B
553,835,554,B
556,2327,557,B
558,1292,559,B
565,2115,566,B
573,1035,574,B
574,2066,575,B
576,1910,577,B
596,1686,597,B
605,2329,606,B
627,698,628,A
629,1812,630,A
631,1423,632,B
633,947,634,B
686,1820,687,B
